景点,comments,score
天沐温泉度假村,酒店很赞，交通方便。温泉池子很多水质很干净，环境很棒，冬天泡温泉首选。 再次感谢酒店接待人员柳祥虎、李晓旭两位为我们免费升级酒店房间，提升入住体验??????,0.9992552862214784
天沐温泉度假村,今天来这边泡温泉，真的很不错哦，还有汉服小姐姐给我们介绍，还有特色火锅池，真的很不不错，玩的很开心，体验感真的很棒，还有小何的鱼疗服务很棒，值得表扬??,0.9999971555257383
天沐温泉度假村,第N次来泡温泉，各项服务态度和质量都不错。人气旺盛，唯一需要改善的就是三楼的卡拉OK唱歌价格定位实在是太贵，闲置有些可惜。,0.007458127849492291
天沐温泉度假村,温泉挺多的，样式也很多，有麻将池火锅，二楼还能休息，依旧小仙女讲解了很多，还有小礼品，又是收货的一天,0.8357345458123203
天沐温泉度假村,今天带着孩子来玩，这里的环境真的不错，水质干净，还有汉服小姐姐给我们送了赤豆元宵，煮的很好喝哦，还给我们介绍温泉池子，真的很贴心??,0.9983697604534731
天沐温泉度假村,环境各方面的都很好，尤其是服务，小仙子的服务都是特色的，会送养生羹，还会提供浴巾，挺暖心的,0.9709652091108292
天沐温泉度假村,泡温泉真棒啊 鱼疗体验很新奇 汉服小姐姐还送了小礼品和赤豆元宵 特色池子很多，最喜欢火锅池,0.8902335985098963
天沐温泉度假村,天气非常好，泡温泉很适合，小仙女还会送小礼物，还告诉我们鱼疗池很好玩，适合带小朋,0.9586834541876686
天沐温泉度假村,水温挺合适，今天平安夜，还收到了小仙女送的平安果，好棒的福利,0.8600689991729494
天沐温泉度假村,环境很好啊 小朋友玩的很开心 温泉多 水温合适 景色宜人 大人小孩都泡的很开心 地理位置很好 在瘦西湖旁边 刚好两个景点一起玩了 小朋友直接当泳池了,0.9999999848875147
天沐温泉度假村,服务是可以的，没啥话说，小仙女的服务也很专业，整个过程都是相当流畅，讲解的池子也很详细，特色非常多，3点能看到粉色泡泡池子，还有玫瑰池，红酒池，都是女孩子爱泡的池子，二楼也有休息厅，累了可以去休息休息，看看电影，放松一下,0.9999913266839625
天沐温泉度假村,今天来这边泡温泉，这里的环境真的很棒，温泉池子很多，水质很干净，还有汉服小姐姐给我们送了小礼物??，很开心的一天，下次还会再来，真的很不错哦,0.9398433786009045
天沐温泉度假村,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,0.9954190617678085
天沐温泉度假村,感觉到度假村泡温泉。好好玩。水质清澈。环境优美。小仙女热情周到。下次再来,0.9947702655174641
天沐温泉度假村,暑期带孩子们住了几日，感觉很好！礼宾黄羽、小民，接待热情、耐细指导，管家杨芳、孙学梅服务周到，随叫随到，有宾至如归似感觉。非常感谢她们。,0.9996588264239381
天沐温泉度假村,这个好。好地方啊。扬州当地著名景点之一旅游必到之处打卡拍照取景休闲旅游必到之处。扬州瘦西湖温泉度假村。泡汤很多舒服极了。是个值得去的地方,0.9995497223622045
天沐温泉度假村,今天休息带孩子来温泉玩，，尤其遇到一个小仙女，长得漂亮，还温柔，给我们很耐心的指导，还送我们一份红豆粥，但是到了2楼看到有免费的水果，小孩就领了一份，过了一会孩子还想吃，就准备再去领一份，三片西瓜说收8块钱，其实8块钱也没什么，关键态度让人受不了，看那个女的的眼神好像我们来占便宜一样，无语上次可以领两份这次第二份收钱，影响心情，以后再也不来了,0.0008945959996961017
天沐温泉度假村,这边环境还挺不错的 水很干净 泡起来很舒适 小仙女很细心 服务周到 下次还会来??,0.9999875183691348
天沐温泉度假村,环境好，温泉很舒服，，汉服小姐姐还送了赤豆元宵，感觉很不错哦,0.9792105233426711
天沐温泉度假村,环境很棒，汉服小姐姐服务态度很好，下次会推荐朋友一起来！,0.9830048169797463
天沐温泉度假村,服务超级好的，问了一句南门在哪立马安排礼宾车接送，泡温泉的地方小仙女服务人员都很热情～,0.09802358228237862
天沐温泉度假村,小仙子服务态度很好，汤池也很多，环境不错,0.988742027955478
天沐温泉度假村,今天来这边玩，这里的环境和服务真的不错??，还有汉服小姐姐给我们介绍温泉??，还送了茶水，真的很不错的服务，很贴心，下次还会再来的，真的是一个非常不错的地方??,0.9999844570524317
天沐温泉度假村,这边的温泉样式挺多的，还有麻将池，少了两人，但是还是挺开心的，有个小仙女也懂一点麻将，还指导我呢，期间还有送赤豆汤，挺好喝的，也挺好玩的,0.925284906372334
天沐温泉度假村,服务是可以的，到那都有人接待，都有人引路，小仙女还会带着我们去泳池玩，挺大的，人也多，很热闹，二楼小钟美女也很热情，主动送上水果茶水，享受了一下午的时光,0.9999938783339416
天沐温泉度假村,瘦西湖温泉大酒店又是温泉?? 【景色】优美 【趣味】绝味 【性价比】??,0.9998157158095029
天沐温泉度假村,天气很热来泡温泉 出了一身汗 感觉挺舒服的 小仙女服务很周到 很热情 好评！,0.9749846177709329
天沐温泉度假村,这家的地理位置蛮好的，大门正对面，过一条马路，就是瘦西湖的大门。无论逛还是吃，还是逛累吃饱了晚上泡温泉，简直是一条龙服务，在扬州基本是无敌了。,0.9983716928344353
天沐温泉度假村,值得一去的度假之地,0.17820932073050144
天沐温泉度假村,还是挺不错的呢，正好也靠近瘦西湖，没事泡泡温泉，缓解下疲劳,0.9999090116243652
天沐温泉度假村,扬州人必须第一时间推荐，点赞，本地人带身份证好像有打折。,0.33258534020477515
天沐温泉度假村,非常好的酒店！,0.5603917122122842
天沐温泉度假村,带小孩去泡温泉,0.23802102973947725
天沐温泉度假村,瘦西湖温泉度假村，中式园林风格，白墙灰瓦，毗邻瘦西湖,0.9931710810338948
天沐温泉度假村,扬州唯一的温泉度假酒店，来扬州一定不容错过哦！,0.14182868334948728
天沐温泉度假村,还是挺不错的啊，来放松放松也是不错的选择呢,0.9992025964617666
天沐温泉度假村,小孩喜欢这里玩，池子多特色也多，关键里面的服务人员也很好，小仙女从女宾就开始带着我们贴心服务，全程陪同，没有享受过的待遇,0.9996019696295821
天沐温泉度假村,环境优美，不错，很合意哦，有需要会再去,0.9786086050714431
天沐温泉度假村,非常不错的一个泡温泉的地方，夏天人多,0.5213223687810034
天沐温泉度假村,瘦西湖很不错的啊，风景很美呢，不错啊,0.9999937631391638
天沐温泉度假村,特意赶在返程之前来泡温泉，今天碰上韩服小姐姐服务很周到，每次来扬州必泡的,0.9969479303612738
天沐温泉度假村,不错的选择，环境优美，服务也不错,0.9967659595314081
天沐温泉度假村,很棒的温泉之旅，就是天气有点炎热，还好有小仙女送的果汁太及时，泡了温泉出来，感觉毛孔都被打开了，身体轻松了不少,0.9829154911985706
天沐温泉度假村,总体来说还是不错的，值得一试！,0.9947289238691469
天沐温泉度假村,这边很不错的温泉 风景很不错 还有小动物 都很可爱 小仙女给我们介绍这边的池子和风景 很辛苦 很开心,0.9999993914368268
天沐温泉度假村,水质挺不错的 玩的也挺多的 跟家人朋友一起在麻将池打麻将很开心 小仙女还给我们送了赤豆元宵 很好吃 玩的很开心哦,0.9947146438509313
天沐温泉度假村,带娃游玩圣地哦，好玩！推荐！汉服小美女挺辛苦的，带着我们找泳池，到了泳池还有谢帅哥教游泳，娃娃们很喜欢,0.9995250271399916
天沐温泉度假村,温泉很舒服 很好玩 游泳池也很漂亮好看 小仙女很热情 服务很好 萌宠乐园的小动物也很可爱 很值得来玩一下,0.9999999804108156
天沐温泉度假村,私汤很舒服很私密，鱼疗很舒服～小仙子服务很热情～,0.9996659468903892
天沐温泉度假村,温泉池子没有官方介绍的那么多，而且趣味性也一般，算不上物美价廉，千万要记得带泳裤，里面卖的泳裤太贵了捏，建议官方注意一下呀,0.8755483719247338
天沐温泉度假村,这次选择夜游真的太棒了，很多有趣的活动，和夜游路线，而且人也不是很多,0.9947538196101621
天沐温泉度假村,晚场反而更适合游玩，价格优惠，也没有太阳 服务到位，也不怕孩子着凉,0.883736766331106
