景点,comments,score
大明寺,周末一个人去游玩的，地方不是特别大，里面的亭台楼阁都挺精致的，来的时候挺巧的，正好有个旅行团在解说，所以就跟着旁听了一下。观音庙里面可以上香，跟里面的小师傅说想许个家人健康的愿望，也愿意免费帮我请香上香，人还挺好的。,0.9999962021143514
大明寺,从携程出票非常的便捷，直接刷身份证入园非常的方便，大明寺，位于江苏省扬州市区西北郊，因初建于南朝宋孝武帝大明年间而得名。1500余年来，寺名多有变化，如隋代称“栖灵寺”、“西寺”，唐末称“秤平”等。清代，因讳“大明”二字，一度沿称“栖灵寺”，乾隆三十年皇帝亲笔题书“敕题法净寺”。该寺建“栖灵塔”，塔高九层，宏伟壮观，被誉为“中国之尤峻特者”，故寺又称“栖灵寺”。唐朝鉴真法师任大明寺住持，使大明寺成为中日佛教文物关系史上的重要古刹。,0.999999999999432
大明寺,扬州～大明寺，千年古刹，因初建于南朝宋孝武帝大明年间而得名。进入大明寺正门，过了大雄宝殿，雄伟壮观的栖灵塔已赫然在目。 登塔可眺望瘦西湖，“步步相携不觉难，九层云外倚阑干。忽然笑语半天上，无限游人举眼看”(刘禹锡)。 大明寺中的平山堂为时任扬州知府欧阳修所建。欧离任扬州之后，他的门生苏东坡每次途经扬州都会到此拜谒。 大明寺还有一处建筑是鉴真纪念堂，唐代高僧鉴真东渡日本前，曾为大明寺住持，此堂为纪念他而建。,1.0
大明寺,一件袈裟和鉴真东渡的故事 “山川异域，风月同天”这句印在日本援华医疗物资上的话，在2020的疫情间引起了很大的关注。要知道，这句话第一次出现是在1600年前倭国长屋王送给唐朝僧人的千件袈裟上。正是因为这句话，使得鉴真大师决心东渡传法。 大明寺因初建于南朝宋孝武帝大明年间而得名。唐代的鉴真大师在东渡之前，曾因深厚的佛法修为22岁即在大明寺做主持。在他55岁的时候，两个来自日本的遣唐使持长屋王的袈裟来邀请他东渡传法。袈裟上绣着一行字：“山川异域，风月同天。寄诸佛子，共结来缘”。彼时，去倭国是一件极其危险的事情，众人皆怕丢了性命。唯大师言：是为法事也，何惜身命？诸人不去，我即去耳。为了佛法东传，鉴真大师历经十年，六次偷渡，终于在自己65岁的时候，踏上了东瀛的土地，此时他已经双目失明。后来的事情，大家都知道了。 上世纪七十年代，梁思成先生受周总理的委托，参照鉴真在日本的主要遗物-唐招提寺金堂设计建筑“唐鉴真和尚纪念堂”，整座建筑典雅古朴，保存了唐代的建筑艺术风格， 寺里的栖灵塔原本是隋朝皇帝杨坚为自己过生日建的，是历史名塔。现在的塔应该是重修的。上去可以坐电梯，但要单独交26块钱。,1.0
大明寺,这款连票很划算，扬州游玩2整天，第一天上午去了扬州大运河博物馆（提前一天预约的，门票免费，租耳机讲解RMB20），内容太多，准备有时间再来一次。下午去了大明寺，吃了素斋；然后逛了瘦西湖，游玩了3个多小时，晚上在扬州狮子楼就餐；第二天上午欣赏了个园，中午在东关街吃吃美食顺便带点特产回家，充实的休闲游。,0.9999646747402929
大明寺,山不高 适合老人，观景不错，卧佛店要单独买票，里面的和尚很和蔼，登上塔顶没看到瘦西湖因为天气有霾， 遗憾 ！其他的不错。,0.9999050145922597
大明寺,扬州大明寺非常漂亮，清净庄严！栖灵塔内供奉着释迦牟尼佛的真身舍利。寺庙在2018年开始开放供信众礼拜的佛陀真身舍利。在第二层坐电梯到第七层，可一览扬州全景；排队跟着志工上第八层，可瞻礼拜谒佛陀舍利！礼拜佛陀舍利是无比殊胜的因缘！在这个殊胜的圣地拜佛绕佛供佛！法喜充满！大明寺志工菩萨们的素质高出新天际！赞叹不已！感恩随喜！,0.9999997566093861
大明寺,大明寺和瘦西湖挨着，可以先去大明寺，逛出来按着指示牌走几百米去瘦西湖。大明寺里地面都比较平坦、空旷，老人小孩没有问题。瘦西湖比较大，整个逛下来会很累，建议坐景区游览车到核心景区，再慢慢逛，很美值得去看看,0.9999999999510889
大明寺,大明寺，查攻略说商业气氛浓，差一点错过的宝藏人文景点 欧阳修的平山堂，「放开眼界」让人眼前一亮，苏东坡的谷林堂，里面见到了六一居士「醉翁亭记」的真迹—— 醉翁之意不在酒，而在乎山水之间也，全文背诵那些死去的记忆顿时翻涌回来 还有梁思成重建的鉴真纪念堂，六次东渡，历史课本上寥寥数语带过，在这里了解到背后的坎坷崎岖，感慨这九死一生背后信仰的力量 走过第五泉，登上栖灵塔，仿佛走过千年来体会诗人复杂的心境，一切都有了真实的画面，一座大明寺，半部广陵史,1.0
大明寺,大明寺，位于江苏省扬州市区西北郊，被国务院批准列入第六批全国重点文物保护单位名单[1]。 大明寺，因初建于南朝宋孝武帝大明年间（457—464年）而得名。1500余年来，寺名多有变化，如隋代称“栖灵寺”、“西寺”，唐末称“秤平”等。清代，因讳“大明”二字，一度沿称“栖灵寺”，乾隆三十年皇帝亲笔题书“敕题法净寺”。1980年，大明寺恢复原名。2002年，被评为国家AAAA级景区。据《旧五代史》载，公元887年，庐州刺史杨行密与宣州刺史秦彦对战时，在此扎营,0.9999999999131133
