景点,comments
东关街,东关街，扬州市中心地地标景点，这里有东关古渡，城门，琼花观，个园等景点。 城门地下玻璃挡板下面是古代城墙遗址，值得细细品味。 街上美食如云，游客众多。
东关街,这是一条扬州本地人没事也会来这里逛吃逛吃买买买的街道，作为扬州城里最具有代表性的一条历史老街，自扬州大运河开通后，就一直存在。街面上市井繁华、老字号林立，比如开业于1817年的四美酱园、1830年的谢馥春香粉店等。除有老字号店铺，还集中了众多古迹文物，比如个园、逸圃、汪氏小苑等。
东关街,东关街历史性街区是江苏省扬州市邗江区一个著名的旅游胜地。这里是因为大运河而昌盛起来。因为码头，运输，物料转运等等，达贵们在此盖房子。
东关街,东关街连着彩衣街，只要肚子允许，可以一路吃过去。扬州特色，各地小吃，奶茶糖水… 街上遍布老字号。扬州三把刀，谢馥春，老茶社． 失望的是，没有茶颜悦色。有苏州的“茶色烟雨”，和著名的扬大酸奶。
东关街,今年年初去的，疫情第一波我们就开车来的，人不是很多，东关街往前走就是城墙边上，两边是商铺，这里有家茉莉蛋糕店，老远就闻见香味了 买了两种口味的，不是很甜，五月份又来了这里，旧地重游
东关街,种类还是挺多的，避雷虾扯蛋。25一份可以接受，但是材料忍不了，别的地方都是整只，这黑心东西给一点
东关街,扬州东关街位于江苏省扬州市，是扬州城里最具有代表性的一条历史老街。它东至古运河边，西至国庆路，全长1122米。东关街以前不仅是扬州水陆交通要道，而且是商业、手工业和宗教文化中心。附近有扬州特色美食餐厅，大家可以去品尝一下！
东关街,东关街是扬州城里具有代表性的一条历史老街，东至古运河边，西至国庆路，全长1122米，是扬州网红景点、扬州必去的古街巷。这里集中了众多古迹文物，有逸圃、汪氏小苑、个园、广陵书院、安定书院、明代的准提寺等名胜古迹。
东关街,一处老城区改造的复古商业步行街，建议傍晚晚饭之前开始去，边逛边吃边玩，有一些扬州特产，老品牌的护肤品，比如：谢馥春，这个是很多老扬州，游客的青睐。暮色之下，各色灯盏亮起，确有穿越之感，只希望人不要多，否则兴趣会被冲淡。
东关街,去扬州东关街，建议先来一碗地道的干丝，伴着小笼包，吃饱喝足，逛起。东关街在扬州久负盛名，这里不仅有三把刀等特色小玩意，还有各色美食、美女，令人目不暇接。
