景点,comments
个园,值得去看看
个园,江南的园林都各具特色，个园不算太大，建议门口请一个导游会更了解的细节处，如果自己逛的话，可能也就错过了很多。盐商私人的园林还是非常值得一看的，只是冬天的景色稍微欠缺了一点。还好之前下过一场雪，有点雪景可以看
个园,凑合还行吧
个园,值得去看看的地方
个园,个园～扬州必打卡景点之二，原名“寿芝园”，清代盐商的宅邸，中国四大园林之一，始建于明代，至今已有近400年的历史，扬州个园与北京顾和园、承德避暑山庄和苏州拙政园并称为中国四大名园，以笋石、湖石、黄石、宣石叠成的春夏秋冬四季假山，融造园法则与山水画理于一体。个人认为个园更具特色
个园,不错的景点，值得来游玩。
个园,太漂亮了！棒
个园,挺好，很值得一看
个园,在携程旅行网上订的门票，入园非常方便快捷。个园是扬州著名的园林，被誉为中国四大园林之一。其布局精巧，假山建造奇特，园景让人流连忘返，值得细细欣赏！
个园,当天买当天进园，和现场买票一个价。做好来东关街的打算后，早一天买好个园门票就有优惠了。个园以叠石见胜。初雪后来见黑瓦白雪红枫绿竹。
个园,很好的旅游体验
个园,好好好好好好好好好
个园,个园不小，可以看看
个园,很不错 值得去看看
个园,扬州打卡景点之一
个园,私人园林，有园林区和住宅区，扬州的私人园林比较多，有时间可以多逛几个，景色不错
个园,还可以，没有何园好
个园,游客不多，环境很优美，值得一逛，特别是春夏秋冬四景，在全国都是仅有的，历史底蕴很丰富，建议找一个导游讲解，能观光的更透彻
个园,说实话挺小的，作为一个单独景点逛不了很久，适合和旁边关东街一起逛
个园,瘦西湖个园比较值得些，其他不太推荐，大明寺拜佛可以去下，何园比个园小，都去意义不是很大。
个园,很好很好很好
个园,很好，很方便
个园,个园无论是建筑风格还是人文气息都特别吸引游客，总体而言环境优雅，景观不错，很有特色，特别是景区的后花园特别漂亮和秀美。点赞??
个园,就在东关街里，是我喜欢的园林，已经二刷，景致真心不错??
个园,很不错很好看 就是时间应该再推迟一点
个园,很有韵味，小而精，景色秀丽
个园,扬州个园30块的淡季门票绝对物超所值。一步一景，设计巧思。我们是从北门即后门进的，先看到的是花园和风景，最后从南门即正门出去的。春夏秋冬四十风景，在一个园子里都能看到，而且处处不同，处处精巧。一路走来，不停的赞叹设计者的眼光和审美。感觉在古代，当个让人尊敬的富人挺不容易的。一是要有钱，很多的钱，才能买的下这么大的园子；二是要一直有钱，才能把园子修起来；三十还有非常好的审美和鉴赏能力，才能往来无白丁。天呐～让我来遭这个罪吧～
个园,很不错～很有特色～竹子～进口的玻璃～要请人讲解才能更了解体会
个园,江南园林之典范
个园,风格很喜欢，很有古代艺术感
个园,有趣的园林，特别是秋景，12月初逮住秋色尾巴，美极了！
个园,个园还是挺不错的，景点很小，基本上两个小时足够了。小景点慢慢看也很有意思。看完出来就是东关街，稍微逛下看看，可以一路溜达下去～
个园,环境优美宜人，携程购票优惠多多
个园,好好好，好
个园,环境优美，景色宜人，园林密易疏难，绮丽易雅淡难，疏而不失旷，雅淡不流寒酸。是花繁草茂满园的华丽，是翠竹落英山石的雅致，是鱼戏绿波花浓的和谐，是出水芙蓉连天的古典。苏州的园景，有如持伞而过的江南少女，凌波微步，充满诗情画意的古韵。
个园,一般还可以
个园,景色优美，值得一去的景点，园林的美又存在历史的厚重感，不枉此行，位置优越，交通便利，适合拍照，一步一景，网上购票方便快捷。
