,date,ip属地,评分,comments
0,2023-12-25,江苏,5,周末一个人去游玩的，地方不是特别大，里面的亭台楼阁都挺精致的，来的时候挺巧的，正好有个旅行团在解说，所以就跟着旁听了一下。观音庙里面可以上香，跟里面的小师傅说想许个家人健康的愿望，也愿意免费帮我请香上香，人还挺好的。
1,2023-11-16,北京,5,从携程出票非常的便捷，直接刷身份证入园非常的方便，大明寺，位于江苏省扬州市区西北郊，因初建于南朝宋孝武帝大明年间而得名。1500余年来，寺名多有变化，如隋代称“栖灵寺”、“西寺”，唐末称“秤平”等。清代，因讳“大明”二字，一度沿称“栖灵寺”，乾隆三十年皇帝亲笔题书“敕题法净寺”。该寺建“栖灵塔”，塔高九层，宏伟壮观，被誉为“中国之尤峻特者”，故寺又称“栖灵寺”。唐朝鉴真法师任大明寺住持，使大明寺成为中日佛教文物关系史上的重要古刹。
2,2023-12-21,北京,5,扬州～大明寺，千年古刹，因初建于南朝宋孝武帝大明年间而得名。进入大明寺正门，过了大雄宝殿，雄伟壮观的栖灵塔已赫然在目。 登塔可眺望瘦西湖，“步步相携不觉难，九层云外倚阑干。忽然笑语半天上，无限游人举眼看”(刘禹锡)。 大明寺中的平山堂为时任扬州知府欧阳修所建。欧离任扬州之后，他的门生苏东坡每次途经扬州都会到此拜谒。 大明寺还有一处建筑是鉴真纪念堂，唐代高僧鉴真东渡日本前，曾为大明寺住持，此堂为纪念他而建。
3,2023-12-08,北京,5,一件袈裟和鉴真东渡的故事 “山川异域，风月同天”这句印在日本援华医疗物资上的话，在2020的疫情间引起了很大的关注。要知道，这句话第一次出现是在1600年前倭国长屋王送给唐朝僧人的千件袈裟上。正是因为这句话，使得鉴真大师决心东渡传法。 大明寺因初建于南朝宋孝武帝大明年间而得名。唐代的鉴真大师在东渡之前，曾因深厚的佛法修为22岁即在大明寺做主持。在他55岁的时候，两个来自日本的遣唐使持长屋王的袈裟来邀请他东渡传法。袈裟上绣着一行字：“山川异域，风月同天。寄诸佛子，共结来缘”。彼时，去倭国是一件极其危险的事情，众人皆怕丢了性命。唯大师言：是为法事也，何惜身命？诸人不去，我即去耳。为了佛法东传，鉴真大师历经十年，六次偷渡，终于在自己65岁的时候，踏上了东瀛的土地，此时他已经双目失明。后来的事情，大家都知道了。 上世纪七十年代，梁思成先生受周总理的委托，参照鉴真在日本的主要遗物-唐招提寺金堂设计建筑“唐鉴真和尚纪念堂”，整座建筑典雅古朴，保存了唐代的建筑艺术风格， 寺里的栖灵塔原本是隋朝皇帝杨坚为自己过生日建的，是历史名塔。现在的塔应该是重修的。上去可以坐电梯，但要单独交26块钱。
4,2023-10-28,江苏,5,这款连票很划算，扬州游玩2整天，第一天上午去了扬州大运河博物馆（提前一天预约的，门票免费，租耳机讲解RMB20），内容太多，准备有时间再来一次。下午去了大明寺，吃了素斋；然后逛了瘦西湖，游玩了3个多小时，晚上在扬州狮子楼就餐；第二天上午欣赏了个园，中午在东关街吃吃美食顺便带点特产回家，充实的休闲游。
5,2023-11-25,安徽,5,山不高 适合老人，观景不错，卧佛店要单独买票，里面的和尚很和蔼，登上塔顶没看到瘦西湖因为天气有霾， 遗憾 ！其他的不错。
6,2023-11-19,江苏,5,扬州大明寺非常漂亮，清净庄严！栖灵塔内供奉着释迦牟尼佛的真身舍利。寺庙在2018年开始开放供信众礼拜的佛陀真身舍利。在第二层坐电梯到第七层，可一览扬州全景；排队跟着志工上第八层，可瞻礼拜谒佛陀舍利！礼拜佛陀舍利是无比殊胜的因缘！在这个殊胜的圣地拜佛绕佛供佛！法喜充满！大明寺志工菩萨们的素质高出新天际！赞叹不已！感恩随喜！
7,2023-11-09,上海,5,大明寺和瘦西湖挨着，可以先去大明寺，逛出来按着指示牌走几百米去瘦西湖。大明寺里地面都比较平坦、空旷，老人小孩没有问题。瘦西湖比较大，整个逛下来会很累，建议坐景区游览车到核心景区，再慢慢逛，很美值得去看看
8,2023-10-20,辽宁,5,大明寺，查攻略说商业气氛浓，差一点错过的宝藏人文景点 欧阳修的平山堂，「放开眼界」让人眼前一亮，苏东坡的谷林堂，里面见到了六一居士「醉翁亭记」的真迹—— 醉翁之意不在酒，而在乎山水之间也，全文背诵那些死去的记忆顿时翻涌回来 还有梁思成重建的鉴真纪念堂，六次东渡，历史课本上寥寥数语带过，在这里了解到背后的坎坷崎岖，感慨这九死一生背后信仰的力量 走过第五泉，登上栖灵塔，仿佛走过千年来体会诗人复杂的心境，一切都有了真实的画面，一座大明寺，半部广陵史
9,2023-10-20,辽宁,5,大明寺，查攻略说商业气氛浓，差一点错过的宝藏人文景点 欧阳修的平山堂，「放开眼界」让人眼前一亮，苏东坡的谷林堂，里面见到了六一居士「醉翁亭记」的真迹—— 醉翁之意不在酒，而在乎山水之间也，全文背诵那些死去的记忆顿时翻涌回来 还有梁思成重建的鉴真纪念堂，六次东渡，历史课本上寥寥数语带过，在这里了解到背后的坎坷崎岖，感慨这九死一生背后信仰的力量 走过第五泉，登上栖灵塔，仿佛走过千年来体会诗人复杂的心境，一切都有了真实的画面，一座大明寺，半部广陵史
10,2023-07-29,辽宁,5,大明寺，位于江苏省扬州市区西北郊，被国务院批准列入第六批全国重点文物保护单位名单[1]。 大明寺，因初建于南朝宋孝武帝大明年间（457—464年）而得名。1500余年来，寺名多有变化，如隋代称“栖灵寺”、“西寺”，唐末称“秤平”等。清代，因讳“大明”二字，一度沿称“栖灵寺”，乾隆三十年皇帝亲笔题书“敕题法净寺”。1980年，大明寺恢复原名。2002年，被评为国家AAAA级景区。据《旧五代史》载，公元887年，庐州刺史杨行密与宣州刺史秦彦对战时，在此扎营
11,2023-12-26,福建,5,非常好，可以感受鉴真大师的禅心，园区非常有禅意，尤其还有梁思成大师设计的鉴真纪念馆，唐风很足，文化、历史在这里交汇，适合漫步用心体验。
12,2023-12-07,江苏,5,第二次入住瘦西湖度假村，依旧精致，依然美好！本次得到杨丽娟和宋林萍两位客房管家的照顾和帮助，住的很开心，感受非常好！在此感谢！下次有机会再来扬州，一定还会选择温泉度假村的！
13,2023-12-17,上海,5,两天去三处，这三处距离不远，适合两天打卡，用二维码进比较方便。比单张买有便宜到。规划早，就能省到。瘦西湖北门斜对面就能去到大明寺。
14,2023-12-03,江苏,5,里面的栖灵塔有供奉佛祖舍利，特别灵！值得一去！第八层和第九层都有舍利子！塔顶的景色很赞，日落时分很美！先去大明寺再去瘦西湖！
15,2023-09-02,江苏,5,非常幸运，遇到了旅游团，跟着导游走。里面有9层栖灵塔，供奉着释迦摩尼佛的舍利。是西藏的一个活佛印度请来的，有机会一定要去拜拜～见释迦摩尼佛舍利，即是见佛??????
16,2023-12-22,江苏,5,很不错，鉴真大师东渡的出发地。氛围很好。鉴真纪念园唐风淳朴，而且是梁思成大师设计的，可以身临其境的与两位大师跨越时空对话。
17,2023-12-08,江苏,5,位置优越，环境优美，佛教文化氛围深厚。点赞
18,2023-12-17,江苏,5,很有历史文化价值，恰好遇见了僧人唱经，还专门使用话筒，声音宏亮，很有仪式感，有很多信众一起跟着跪拜。就是当天天气太冷了。
19,2023-12-03,江苏,5,方便快捷及时，不错，随买随用，金秋送爽，这个价还是可以逛逛的
20,2023-12-20,贵州,5,值得，错峰旅游
21,2023-11-18,广东,5,打卡完成，点位之间很方便，有公交直达，一天能走完这些点。瘦西湖还走了南北的游览，几乎把景都看到了，北门出口就是大明寺，太方便了常值得
22,2023-11-20,浙江,5,值得一去。
23,2023-10-06,山西,5,干净，清幽！瘦西湖周边，空气中满满的桂花香，布局较大，人多也不显得拥挤，体验感好评！登高可以远眺扬州市全景，以及瘦西湖周边湿地。
24,2023-11-07,浙江,5,国家AAAA级景区，寺前东西院墙上分别嵌着两块石碑，东为蒋衡山“淮东第一观”，西为王澍书“天下第五泉”大字，值得仔细揣摩！
25,2023-11-22,北京,5,大明寺，位于江苏省扬州市区西北郊，被国务院批准列入第六批全国重点文物保护单位名单[1]。大明寺，因初建于南朝宋孝武帝大明年间（457—464年）而得名。1500余年来，寺名多有变化，如隋代称“栖灵寺”、“西寺”，唐末称“秤平”等。清代，因讳“大明”二字，一度沿称“栖灵寺”，乾隆三十年皇帝亲笔题书“敕题法净寺”。1980年，大明寺恢复原名。2002年，被评为国家AAAA级景区。据《旧五代史》载，公元887年，庐州刺史杨行密与宣州刺史秦彦对战时，在此扎营。隋朝仁寿元年（601年），皇帝杨坚为庆贺其生日，下诏于全国建塔30座，以供养佛骨，该寺建“栖灵塔”，塔高九层，宏伟壮观，被誉为“中国之尤峻特者”，故寺又称“栖灵寺”。唐朝鉴真法师任大明寺住持，使大明寺成为中日佛教文物关系史上的重要古刹。唐会昌三年（843年），九层栖灵塔遭大火焚毁。后经僧人募化重建，但屡有圮废。明万历年间，扬州知府吴秀重建大明寺，崇祯十二年漕御史杨仁愿再次重修。清康乾盛世，大明寺扩建为扬州八大名刹之首。清乾隆三十年（1765年），乾隆巡游扬州，改题“法净寺”。然而咸丰三年（1853年），太平军占领扬州，法净寺毁于战火之中。
26,2023-11-22,北京,5,大明寺，位于江苏省扬州市区西北郊，被国务院批准列入第六批全国重点文物保护单位名单[1]。大明寺，因初建于南朝宋孝武帝大明年间（457—464年）而得名。1500余年来，寺名多有变化，如隋代称“栖灵寺”、“西寺”，唐末称“秤平”等。清代，因讳“大明”二字，一度沿称“栖灵寺”，乾隆三十年皇帝亲笔题书“敕题法净寺”。1980年，大明寺恢复原名。2002年，被评为国家AAAA级景区。据《旧五代史》载，公元887年，庐州刺史杨行密与宣州刺史秦彦对战时，在此扎营
27,2023-06-24,上海,5,大明寺整体整体不大，两个小时不到就能逛完，分了很多建筑，感觉环境比较休闲，还有僧人做晚课，另外当天正确遇到刮风，风铃全都响了这个场面很壮观。
28,2023-08-26,江苏,5,大明寺历史悠久，可以追述到唐代天宝元年，名僧鉴真东渡日本之前，就在这里传经授戒，从此大明寺因而名闻天下。 我们是早上到了扬州就慢慢逛吃逛吃，大明寺，个园，东关街。 大明寺人不是特别多，我们就追寻着白居易，刘禹锡，李白…诗句的痕迹一路走来。栖灵塔，李白、白居易都曾登塔并赋诗，李白赞曰“宝塔凌苍苍，登攀览四荒”，白居易曾有：“半月月腾腾在广陵，何楼何塔不同登，共怜筋力尤堪任，上到栖灵第九层”的诗句。可见栖灵塔当年的丰采。 来到大明寺感觉身心就静下来了，很是惬意和放松。
29,2023-07-18,上海,5,从瘦西湖北门出去，走个两三百米就能到了。在山脚下就能听到一阵阵的钟声。进去就发现原来只要买票上塔参观就送敲钟，怪不得一直有钟在响。
30,2023-11-19,江苏,5,每年都会来大明寺走走看看，净化自身的能量，这次的天气格外明朗。晴空之下，心旷神怡。
31,2023-09-04,上海,4,初建于南朝大明年间，故得此名。鉴真大师东渡日本之前就是这里的高僧。苏轼在扬州出仕时，就在平山堂。有位大叔在陈列的苏轼“西江月·平山堂”书法前反复念了好几遍“休言万事转头空，未转头时皆梦”。那个当年的天下第五泉已经是绿色“一潭死水“，不复当年风采。
32,2023-07-06,浙江,4,大明寺里有扬州最高点栖灵塔，可以登高俯瞰瘦西湖。大明寺本身也是名寺，是鉴真东渡前做住持的寺庙，同时宋仁宗时期欧阳修在此建了平山堂，还有天下第五泉，文化底蕴深厚，值得一游。六月底去的，工作日，人不多，门票30，登塔票26。既然去了，还是建议买个登塔票，当然天气要好，不从高处看看瘦西湖不免遗憾。第五泉边上还有一个很大的放生池，可以喂鱼喂天鹅。整个一圈玩下来2个小时，半天一般来说肯定够了。周边有景区停车场，但不算大，旺季还是公共交通出行更方便。景区道路狭窄，非常容易拥堵，可以想象五一十一的时候出行体验会下降很多，供参考。
33,2023-07-14,上海,5,当天人不多，整个大明寺面积挺大的，有大雄宝殿有广场有塔，作为以前的练兵的，还有一些佛教生肖的菩萨礼堂，当时正好走的时候遇到大风，院子里的风铃一起响了蛮壮观的。
34,2023-11-07,山东,5,非常不错，扬州必去非常值，大明寺门票非常非常值去过两次还想去！一定要去哦
35,2023-10-30,安徽,5,扬州的最后一站我们好不犹豫的选择了大明寺，登塔俯瞰瘦西湖全景，美不胜收
36,2023-10-30,安徽,5,扬州的最后一站我们好不犹豫的选择了大明寺，登塔俯瞰瘦西湖全景，美不胜收
37,2023-09-24,北京,5,携程出票快。大明寺，位于江苏省扬州市区西北郊，被国务院批准列入第六批全国重点文物保护单位名单。因初建于南朝宋孝武帝大明年间（457—464年）而得名。
38,2023-12-22,上海,5,登塔能看无人机视角的瘦西湖
39,2023-12-07,江苏,4,千年古刹，人文底蕴厚重。
40,2023-10-18,未知,5,在山腰上的寺院有非常浓郁的隋唐风格，据说每年小日子的信徒们都来为鉴真大和尚的道场，捐款捐物。靠近宝塔这一段的寺庙建筑都是新修的，规模宏大，老的只有近鉴真大和尚纪念堂这里的大雄宝殿了吧。
41,2023-12-04,江苏,5,栖灵塔上俯瞰扬州城风光
42,2023-12-17,四川,5,太漂亮了，值得一游
43,2023-12-02,陕西,5,登塔可以看俯瞰扬州，非常漂亮，就是得单独再买票才可以登塔
44,2023-11-14,江苏,5,手种堂前垂柳，别来几度春风！ 休言万事转头空，未转头时皆梦… 欧阳修与苏东坡的故事，值得一游！
45,2023-12-17,天津,5,值得去，感觉门票比较贵，本着弘扬历史文华的精神，应该门票减价，这样就降低参观门槛，吸引更多的国人前来，达到传承历史文化的效果。
46,2023-11-13,山东,5,来过两次，很不错，和瘦西湖离得很近。停车还是比较方便的。现在可以登塔了，很不错。
47,2023-10-22,江苏,5,十年前来过一次，现在变化挺大的，后面修了不少新的建筑。很安静的一个公园，环境也很好，停车也很方便，也是有历史的一个地方。
48,2023-10-18,江苏,3,大明寺千年古刹可惜了～，太商业化了，45元的门票（老人半票22元），进入后还需要买26元的登塔票（老人半票为13元），塔边的鼓楼也要有登塔票才能进，寺庙义工基本以收费、推销和查票为主。 只能默默心中拜佛……。
49,2023-10-04,江苏,5,四人出行，二人免费，刷身份证就可进，大明寺历史文化底蕴深厚，景点介绍清楚，就是很多处没有坡道，老年人出行不便，其他还好！
50,2023-07-06,江苏,5,大明寺不只是具有大唐风韵的鉴真和尚纪念馆，也有纪念欧阳修的平山堂。两位大师只以让人敬仰了！有机会还要去大明寺游览，有无数的典故值得回味！
51,2023-09-06,江苏,5,鉴真大和尚的一生都在这里有所简介！也是鉴真大和尚的祖廷。和日本奈良的唐招提寺有很深的渊源。另外边上的佛塔值得一上，26元有电梯。看得到大半个扬州城。
52,2023-11-06,江苏,5,值得一游之地，知识趣味共存
53,2023-10-05,天津,4,值得一去。 围绕鉴真事迹展开的佛教文化之旅。 上午逛完瘦西湖，正好进入大明寺吃素斋。 除了套餐还有专门的汤面，素汤面20一碗，俩人或者俩人带小孩的话，点一份素汤面+素汤面套餐=50元就够了。
54,2023-08-28,上海,5,不是很好，爬一会会就到寺门口了，香要另外请，不包含在门票内，寺里环境不错，走过几个大殿就可以看到高塔，时间不够就没爬上去了，登高望远估计景色不错
55,2023-12-05,江苏,5,你值得拥有，非常满意，非常感谢，赞赞赞????????????
56,2023-12-07,广东,5,很不错～去的时候人少～有免费讲解～很细致～我们点了灯～祈福保佑～去的时候风大没上楼～要收费坐电梯上去
57,2023-09-21,江苏,5,建筑精美，磅礴大气。
58,2023-11-25,江苏,5,风景不错，值得一去
59,2023-11-14,江苏,5,黑天鹅可以去看一下
60,2023-09-03,安徽,5,买通票的话能够省点钱，每次验票也比较方便，前提是两天内这些景区都要去。被列为世界文化遗产的景区还是挺不错的，此次旅行比较愉快，景区也很赞。
61,2023-08-29,福建,5,是一个不错的景点，中国佛教传承至日本，建筑方面日本模仿该寺庙的特色，同时栖楼塔可以俯视整个扬州城，塔顶供奉佛主舍利，是一个值得去的地方。
62,2023-11-29,江苏,5,里面有温柔的小姐姐免费讲解，全程一小时，体检感十分好！
63,2023-08-25,上海,5,登大明寺的栖灵塔，南面的瘦西湖美景一览无余，仔细看还能看到白塔。风很大，凉快得很。下来本想吃碗素面，怎奈一碗素面也贵得离谱，罢了罢了。
64,2023-07-18,广东,5,非常有历史感，文物丰富，平山堂，梁思成的鉴真纪念馆非常有意思，但登塔要另外收钱，也太贵了，不值一登。后面的花园有皇帝真迹，很有看头。
65,2023-10-07,北京,5,从瘦西湖出来，一直徒步到大明寺，虽然二十六年前曾经来过扬州，但是大明寺还是第一次来。感受一下。相比瘦西湖，这里算是清静许多了。
66,2023-08-09,江苏,5,去的时候正值礼佛上香的时节，人很多，也都特别虔诚，印象中的栖灵塔依然巍峨，可以付费上去观看，坐落在蜀岗，上去并不费力，比较方便
67,2023-07-14,上海,5,千年古刹 ，文化高地。大明寺自动电梯为游客们考虑周到，登顶景色绝美，可以把瘦西湖的景色尽收眼底。工作日人不多，非常好，不虚此行。
68,2023-06-25,北京,5,通过携程订票方便快捷，提前预订还有优惠，入门扫码即可，非常便利，大明寺值得一看，景色宜人，非常有特色，令人心旷神怡！不虚此行！
69,2023-10-04,江苏,5,很赞的体验哦，比官方便宜好多。下次还会再来再订，非常满意哦。景色很美很壮观，风景如画，就是小火车排队时间长了一点，哈哈哈哈。
70,2023-09-06,江苏,5,鉴真大和尚的祖廷。很值得一去，很系统的描述了鉴真大和尚的一生。另外边上的塔26元有电梯，很值得登高一望，大半个扬州都在眼下。
71,2023-08-04,江苏,5,值得去一趟，这次去的时候人也挺多的。扬州是个好地方，景点也不错。去的那天正好下雨，但完全不影响游的心情，暑期带孩子去的也多。
72,2023-10-18,江苏,3,大明寺千年古刹可惜了～，太商业化了，45元的门票（老人半票22元），进入后还需要买26元的登塔票（老人半票为13元），塔边的鼓楼也要有登塔票才能进，寺庙义工基本以收费、推销和查票为主。 只能默默心中拜佛……。
73,2023-10-07,江苏,5,这个寺庙就在瘦西湖大风景区里面，距离瘦西湖景区门口很近。 寺庙很大，里面有一个湖，一个放生池，还有一个广场，真的很大的寺庙，不像其他寺庙一样佛事相关的建筑很局促，这个寺庙并不局促，有一种和鉴真博物馆合并在一起的感觉。总体来讲到了扬州还是值得一去的。
74,2023-10-04,河南,3,大明寺，建筑都是现代复建的。 梁思成设计的鉴真和尚纪念馆有特色。 那个塔上去要另外收费26元，感觉不爽，没有上去，据说上去可以看见瘦西湖北部。我看游客大都没有上去。
75,2023-08-20,浙江,5,景点很好，上塔另收门票26元，但没想通电梯为啥必须到二楼坐，因为爸妈80多岁，楼梯走不动，要求在一楼上了电梯，其他人走楼梯到二楼坐电梯，如果人多还能理解，但当天上塔的人不多且零零散散，可能是管理死板吧
76,2023-07-20,江苏,5,来扬州旅行必不可少来大明寺，我们是上午去瘦西湖，午饭后来大明寺，距离不远，了解了鉴真和尚的生平，4月份还有樱花，因为有请导游，所以很多细节讲解听的津津有味，也有撞钟仪式，喜欢的也可以去试试～下山附近就有大名鼎鼎的扬州宴，如果想去吃记得要去提起排队，不然基本没有位置～对面就是瘦西湖的一个门，也可以逛完瘦西湖直接过来～扬州景区都相隔不远，打车非常方便也不贵
77,2023-12-03,江苏,5,我第二次来扬州，距离上次已经有24年了，大名寺上次没有参观，这次了了心愿。
78,2023-11-17,上海,5,大明寺的名气很大，一直都想去，这次能够顺利去了，很开心。平台购买非常方便。
79,2023-11-28,安徽,5,大明寺是我去过国内最精致的一个寺庙，干净整洁，布局巧妙，的确很有特色。
80,2023-07-23,安徽,4,一定要绕一圈走完全院，内里藏着曲径通幽又豁然开朗的景致，才是更吸引我们的地方！天鹅与鱼自由自在的游动，一点儿也不惧怕游客！鉴真的寺院让我想起一休哥的动画，想起风铃风信子小人儿??票价￥30内
81,2023-12-22,陕西,5,每个寺庙都有各自的特别之处，登高望远的感觉非常好，一览瘦西湖的美丽！
82,2023-12-06,广东,5,登大明寺栖灵塔环望四周，古老而现代的扬州城净收眼底，引人怀古之幽情！
83,2023-10-14,江苏,5,大明寺景色优美，有九层棲靈塔里面有舍利子可参观，登塔后还可看到瘦西湖，整体游玩感觉很不错，寺院挺大，值得去。
84,2023-10-08,上海,5,酒店的服务人员态度都很不错，尤其是李月和方磊，服务非常周到。 这两天都收到了迎宾水果，清洁也做的非常到位，离瘦西湖也真的很近，走路过一个红绿灯就到了。
85,2023-08-26,江苏,5,大明寺景区目前7-8月份中小学生都免票，教师半票，带上教师证。进门有免费讲解。可以问下时间。全程没有推荐购买，人很平和。栖灵塔需要另外购票，26一人，但是可以近距离看舍利，还是很神奇的体验
86,2023-12-25,江苏,5,入园非常便捷，直接购买后就可以凭二维码入园了，现场直接买也是可以的
87,2023-10-07,福建,4,里面那座塔是很好看的，但是这个票价是真的不太便宜，里面地方很大，但是有点撑不起这个票价，其他都没啥问题，看看也不错，景区也大，但是就是价格有点高了
88,2023-10-03,江苏,5,廋西湖，大明寺，很近。廋西湖店摇橹船，非常棒的体验。特别大明寺禅茶秀演出还是蛮有特色的。最后还赠送了香囊。
89,2023-11-17,上海,5,非常好的一次旅行，购买十分方便，人性化操作平台，值得推荐一下。
90,2023-12-19,江苏,5,挺好，挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好好
91,2023-11-19,江苏,5,非常综合的一家寺庙旅游景点。里面不只有寺庙，佛塔，还有欧阳修的相关经典，这个比较意外。旁边就是观音山寺，走过去2分钟就到了，联系一起参观。
92,2023-10-07,上海,5,瘦西湖出口打的十块钱到大明寺，正好遇到旅行团听了会讲解，地方不大，里面有斋面，斋饭套餐，里面还有个登高的点另外收门票，可以俯瞰整个瘦西湖
93,2023-07-28,江苏,5,刷身份证入，不用取票，里面有两个堂，一个和尚，其实我觉得最可爱是有好多小和尚的小石像，栩栩有声。
94,2023-12-12,上海,4,大明寺雄伟壮观又宁静祥和，散发出一种淡淡的古朴之风令人感叹。阳光从大雄宝殿的檐角洒落，把寺院映照得宁静祥和，仿佛是一幅水墨画中的世界。
95,2023-11-28,湖南,4,总体还好取票也比较方便，但是没有什么价格优势，中规中矩
96,2023-10-22,江苏,5,这个寺庙的讲解是免费的，居然第一次听免费讲解比花钱还专业，时间也长，从头到尾没有商业套路，问题还不怕时间长！最后偷偷加了小导游微信，邀请以后到成都请他吃火锅！与佛祖有情的人！
97,2023-10-01,天津,5,一处文化底蕴深厚的寺院，再加上文人墨客的故居让人不禁流连忘返，登塔远眺，扬州瘦西湖美景尽收眼底。寺院面积超大，身处于寺庙中心里非常静。
98,2023-08-12,河北,5,住宿环境干净，性价比高，工作人员服务热情周到，临走前还给了伴手礼，交通方便，离各个景点都很近，如果有机会来，还会再住的。强烈推荐！！！
99,2023-10-22,江苏,5,整体评价商业化比较重，门票十观塔门票，景色宜人，占地面积广阔，除确门票的商业化其他还可以！
100,2023-11-20,山东,5,鉴真纪念馆就值回票价了。很喜欢里面的塔，拍不够。
101,2023-09-26,北京,3,犹豫半天，最终还是去了大明寺，感觉没啥太大意思，还不如隔壁免费景点观音山，不过这里香火确实是非常旺，栖灵塔蹬塔还需另收费，可以坐电梯到七层。扬州景点整体价格都偏高一些。
102,2023-10-03,安徽,5,古刹庄严，环境优美，栖灵塔俯瞰扬州瘦西湖，很赞
103,2023-09-30,江苏,4,登塔26，游人也不多，和瘦西湖正好一起玩，香烛费另计，也有法物流通处，鉴真纪念碑等，还是蛮大的，今年的大一研一生凭证免费哦！
104,2023-09-11,上海,5,还不错，带着家人逛逛，很是舒服。 寺庙不拍照，就放几张爬上塔的照片，风景很好呢。放生河里的鱼好大好大，看着真过瘾。还喂了鱼食。
105,2023-08-20,北京,5,一个历史悠久的寺庙，可以上塔观望整个瘦西湖，敲钟祈福，品尝素斋，静手洗尘，观佛礼拜。
106,2023-12-23,上海,5,落ち着いた空間、秋を感じるとっても良かった
107,2023-10-25,江苏,4,携程网购票方便快捷，大明寺素面口味一般。
108,2023-08-11,江苏,4,建议从瘦西湖游玩出来后，步行一段路就可以去大明寺，结束后还可以逛一下宋夹城这边，不浪费费时间。大明寺属于乾隆皇帝下江南去了几次的地方，里面还有其御笔亲书的诗句。
109,2023-08-07,湖南,5,佛教圣地，香火旺盛，可以去那座塔上面俯瞰扬州瘦西湖，风景非常的美，很值得去看。
110,2023-11-25,江苏,5,景色，趣味都很赞，孩子们玩的很开心。
111,2023-11-04,江苏,5,订票方便快捷，大明寺旅游还是值得推荐的，扬州旅游值得一去！景点服务业很赞。停车也方便。有个大的停车场，看完大明寺可以在转转周边瘦西湖，附近好几个景点，方便。
112,2023-12-06,天津,5,除了人多没毛病哈哈哈哈 还是要淡季去
113,2023-12-06,安徽,4,大明寺和瘦西湖离得没多远，旁边还有观音山，可以一个线路游玩，喜欢禅文化的可以看看，登塔虽然另收费，但是景色真的很好
114,2023-11-23,浙江,5,挺好的，就是来迟了，太赶，里面很大
115,2023-09-09,广东,5,进入景区，正好有工作人员的免费讲解和导游，登上栖灵塔可以看到瘦西湖的全貌。
116,2023-11-26,河南,5,非常不错的地方，期待下次再次光临
117,2023-11-09,江苏,5,必须要去的欣赏的，非常古老的寺院
