,date,ip属地,评分,comments
0,2023-12-26,北京,5,值得去看看
1,2023-12-26,上海,4,江南的园林都各具特色，个园不算太大，建议门口请一个导游会更了解的细节处，如果自己逛的话，可能也就错过了很多。盐商私人的园林还是非常值得一看的，只是冬天的景色稍微欠缺了一点。还好之前下过一场雪，有点雪景可以看
2,2023-12-26,广东,3,凑合还行吧
3,2023-12-22,天津,5,值得去看看的地方
4,2023-12-21,北京,5,个园～扬州必打卡景点之二，原名“寿芝园”，清代盐商的宅邸，中国四大园林之一，始建于明代，至今已有近400年的历史，扬州个园与北京顾和园、承德避暑山庄和苏州拙政园并称为中国四大名园，以笋石、湖石、黄石、宣石叠成的春夏秋冬四季假山，融造园法则与山水画理于一体。个人认为个园更具特色
5,2023-12-20,云南,5,不错的景点，值得来游玩。
6,2023-12-18,广东,5,太漂亮了！棒
7,2023-12-18,广东,5,挺好，很值得一看
8,2023-12-17,广东,5,在携程旅行网上订的门票，入园非常方便快捷。个园是扬州著名的园林，被誉为中国四大园林之一。其布局精巧，假山建造奇特，园景让人流连忘返，值得细细欣赏！
9,2023-12-17,上海,5,当天买当天进园，和现场买票一个价。做好来东关街的打算后，早一天买好个园门票就有优惠了。个园以叠石见胜。初雪后来见黑瓦白雪红枫绿竹。
10,2023-12-17,广东,5,很好的旅游体验
11,2023-12-15,河南,5,好好好好好好好好好
12,2023-12-15,江苏,5,个园不小，可以看看
13,2023-12-14,上海,5,很不错 值得去看看
14,2023-12-14,上海,4,扬州打卡景点之一
15,2023-12-13,北京,4,私人园林，有园林区和住宅区，扬州的私人园林比较多，有时间可以多逛几个，景色不错
16,2023-12-13,江西,4,还可以，没有何园好
17,2023-12-12,安徽,5,游客不多，环境很优美，值得一逛，特别是春夏秋冬四景，在全国都是仅有的，历史底蕴很丰富，建议找一个导游讲解，能观光的更透彻
18,2023-12-11,上海,4,说实话挺小的，作为一个单独景点逛不了很久，适合和旁边关东街一起逛
19,2023-12-10,江苏,4,瘦西湖个园比较值得些，其他不太推荐，大明寺拜佛可以去下，何园比个园小，都去意义不是很大。
20,2023-12-10,浙江,5,很好很好很好
21,2023-12-10,山西,5,很好，很方便
22,2023-12-09,江苏,5,个园无论是建筑风格还是人文气息都特别吸引游客，总体而言环境优雅，景观不错，很有特色，特别是景区的后花园特别漂亮和秀美。点赞??
23,2023-12-09,江苏,5,就在东关街里，是我喜欢的园林，已经二刷，景致真心不错??
24,2023-12-08,山西,5,很不错很好看 就是时间应该再推迟一点
25,2023-12-08,山东,5,很有韵味，小而精，景色秀丽
26,2023-12-08,北京,5,扬州个园30块的淡季门票绝对物超所值。一步一景，设计巧思。我们是从北门即后门进的，先看到的是花园和风景，最后从南门即正门出去的。春夏秋冬四十风景，在一个园子里都能看到，而且处处不同，处处精巧。一路走来，不停的赞叹设计者的眼光和审美。感觉在古代，当个让人尊敬的富人挺不容易的。一是要有钱，很多的钱，才能买的下这么大的园子；二是要一直有钱，才能把园子修起来；三十还有非常好的审美和鉴赏能力，才能往来无白丁。天呐～让我来遭这个罪吧～
27,2023-12-07,广东,5,很不错～很有特色～竹子～进口的玻璃～要请人讲解才能更了解体会
28,2023-12-06,江苏,5,江南园林之典范
29,2023-12-06,广东,5,风格很喜欢，很有古代艺术感
30,2023-12-05,广东,5,有趣的园林，特别是秋景，12月初逮住秋色尾巴，美极了！
31,2023-12-05,上海,4,个园还是挺不错的，景点很小，基本上两个小时足够了。小景点慢慢看也很有意思。看完出来就是东关街，稍微逛下看看，可以一路溜达下去～
32,2023-12-05,江苏,4,环境优美宜人，携程购票优惠多多
33,2023-12-04,江苏,5,好好好，好
34,2023-12-04,上海,5,环境优美，景色宜人，园林密易疏难，绮丽易雅淡难，疏而不失旷，雅淡不流寒酸。是花繁草茂满园的华丽，是翠竹落英山石的雅致，是鱼戏绿波花浓的和谐，是出水芙蓉连天的古典。苏州的园景，有如持伞而过的江南少女，凌波微步，充满诗情画意的古韵。
35,2023-12-04,广东,3,一般还可以
36,2023-12-03,天津,5,景色优美，值得一去的景点，园林的美又存在历史的厚重感，不枉此行，位置优越，交通便利，适合拍照，一步一景，网上购票方便快捷。
37,2023-12-03,江苏,5,个园是一处典型的私家住宅园林，全园分为中部花园、南部住宅、北部品种竹观赏区。从住宅进入园林，首先看到的是月洞形园门，门上石额书写“个园”二字。园门后是春景，夏景位于园之西北，秋景在园林东北方向，冬景则在春景东边。
38,2023-12-02,江苏,5,景点还不错
39,2023-12-02,江苏,5,景点还不错
40,2023-12-01,河北,5,不愧是四大名园之一
41,2023-11-30,江苏,3,我们是外地去扬州游览的。看网上评价很好，特意挑了去游览个园的。买票进入，刚进去游览的是起居 学堂等场所，就15分钟时间吧，朋友身体不适，就出园， 在检票口附近休息了一会，边上有其他游客说还有好多景点，和检票口的工作人员说明了情况，工作人员一副爱理不理的样子，明确表示出园了就不能再次入园了！这就是美丽的大扬州！遗憾！！
42,2023-11-30,江苏,4,很喜欢个园的庄重典雅
43,2023-11-30,陕西,5,很有江南特色的园子，里面的景色也很不错，有阁楼，有假山，只是对于票价来说，个人觉得这个园子实在有些小，一个小时足够了，而且周边不是很好停车，比较影响游玩体验
44,2023-11-29,上海,5,非常好很不错
45,2023-11-29,上海,5,不错不错不错不错
46,2023-11-28,江苏,5,这个季节的个园，枫叶??红透，与园林交相辉映，太美了！竹子反而不出彩。
47,2023-11-27,安徽,5,值得去看看，非常棒的景点，园子很大，很漂亮，参观的人很多，竹子长的很有特色，确实是个不错的好去处，值得打卡游玩的好地方，
48,2023-11-27,上海,4,园子不大，说实话票价有点高
49,2023-11-27,上海,5,瘦西湖风景很棒，五亭桥和白塔是必打卡的地方，整体来说值得慢慢游览。 信佛的朋友可以去大明寺登塔礼佛，参观鉴真纪念馆。 个园是个清代盐商的私家宅邸，豪气又不失精致。
50,2023-11-27,江苏,5,好好的好好好
51,2023-11-26,河南,5,园子非常不错，精致中带着典雅，配得上
52,2023-11-25,江苏,5,联票便宜个几块钱，整体还可以吧，淡季来的，真的最好三四月来吧
53,2023-11-25,浙江,5,赏四季假山
54,2023-11-25,天津,4,七八年起去过，带爸妈故地重游～十一假期人不少，但电子票很方便，扫码入园。七八年起去过，带爸妈故地重游～十一假期人不少，但电子票很方便，扫码入园。
55,2023-11-25,天津,4,七八年起去过，带爸妈故地重游～十一假期人不少，但电子票很方便，扫码入园。七八年起去过，带爸妈故地重游～十一假期人不少，但电子票很方便，扫码入园。
56,2023-11-24,江苏,4,值得看，四季花园景美
