,date,ip属地,评分,comments
0,2023-11-22,北京,5,从携程出票速度非常快，不用换纸质票，直接刷身份证入园非常的方便，何园，坐落于江苏省扬州市的徐凝门街66号，又名”寄啸山庄“，是一处始建于清代中期的中国古典园林建筑，被誉为“晚清第一园“，面积1.4万余平方米，建筑面积7000余平方米。何园由清光绪年间何芷舠所造，片石山房系石涛大师叠山作品，曾在何园寓居过的名人有很多。著名国画大师黄宾虹，他六次来扬州，寓居在骑马楼东一楼。著名作家朱千华先生，曾寓居何园五年多，其旧居在骑马楼东二楼，何园全园分为东园、西园、园居院落、片石山房四个部分，片石山房在东园南面，园居院落则被东园、西园和片石山房包围，其园内的两层串楼和复廊与前面的住宅连成一体。
1,2023-12-21,北京,5,2023年9月30日～十一长假第二天，何园，又名“寄啸山庄”扬州必打卡景点之一，是一处始建于清代中期的中国古典园林建筑，被誉为“晚清第一园“，面积1.4万余平方米，何园由清光绪年间何芷舠所造，片石山房系石涛大师叠山作品。园林非常秀丽，小巧精致，楼台庭宇，假山，各种古树花草，一步一景。
2,2023-11-20,江苏,5,超级惊喜的小屋！ ? 在老巷子里的没想到有这样一间温馨的小屋。很舒适的房间，没有异味，很人性化的设计。周围都是居民，深度体验老扬州慢生活。 ??[对于房东，我想说] 年轻房东，很好沟通！会提前打电话来确认行程，还到停车场接我们。 ??[民宿给我的小惊喜] 有一只胖胖的金毛，超级乖！ ??[对于周边的便利度，我要说] 门口整条街都是吃的。步行5分钟到何园、皮市街和蒋家桥小吃店，周围还有罗森、咖啡厅和啤酒屋！停车场很好！是一栋楼的室内停车场，充电很便宜，位置很大很好停。 ??[房屋设施我一定要提] 一楼小院有阳光的时候特别美，有露营椅可以躺平。
3,2023-12-11,江苏,5,何园值得用心去欣赏，既有园林之美，又有励志之妙。欣赏园林，阅览园主家史和家主的沉浮，叫人浮想联翩……这是个集自然之美与人文之厚的精美园林，值得欣赏！??????
4,2023-12-19,广东,5,又名“寄啸山庄”，是扬州著名的园林，被誉为晚清第一园。里面的亭台楼阁很有特色，特别是二楼的长廊有1500米，可以从不同角度观赏园景，别有一番意境。
5,2023-11-20,江苏,5,揚州著名的園林建築，位於鬧市之中。 建築保存完好，和蘇州園林相比，近代建築更多，部分建築融入了新中式風格，內部甚至是西式裝修陳設。
6,2023-12-03,广东,5,晚清第一名园，果然名不虚传。中西合璧，相得益彰。中式宜游，西式宜居，何家是两样都占全了。这样的园子，穿古装才更配环境更有味道
7,2023-12-06,浙江,5,何园很值得一去，与个园风格完全不同。二层的走廊四通八达，被誉为过街天桥最早的雏形，很有趣的一次参观体验。
8,2023-10-11,广东,5,早起跟娃一起来酒店附近的何园，老公感冒了在酒店休息。从左舍走了几百米就到了，开心。 这个园整体不大，但是作为一个人的家那还是绰绰有余的。国庆人很多，体验就不太好。至少还是能看出古时候的有钱人是怎么生活的，羡慕。后来又听说他们的小姐是不能出门的（没有验证过）那我想想还是算了吧，女人还是在还是现代自由点。
9,2023-11-15,江苏,5,晚清第一名园，不负盛名。那时的大家族，对孩子学业的重视从书房就可以看出，古典中式，并设有闸口，说是严格控制好时间才能从书房出来。小姐的闺房又是典型的西式风格，放在当今也是每个女孩内心渴望的dream house
10,2023-10-13,江苏,5,何园为本人在国内参观过的建筑规模最大的一座私家宅院。在国内，何园占地面积不是最大的，但建筑面积肯定是本人已参观过的私家园林（宅院）中最大的，也是保存得最好的。该园主体建筑可分为二类，一是各类堂屋，二是密布于园中，又与各类堂屋错落有致的形状各异，大小不一的假山。步入何园，如果没有导游或讲解员带路，尽管你顺着园中已有的指引去参观，那你一定和走进迷宫无异，如果当年有小偷进去偷东西，恐怕想逃出园去也有很大难度，一旦被发现，只能束手就擒。该园中主要的堂屋多数为二层，东西走向和南北走向成排的二层楼房相互连接，中间形成＂天井＂—园中小园，小园有多种类型，可以是较小的花园，只种上几株名贵树木，或几丛小花小草，而较大的园则可以挖个小池塘，塘中又造上小假山或种上水生植物。楼与楼不只在地面有路相连，二楼上也是有连廊的，这样的结构方便了楼上从这楼到那楼，提高了办事的效率。更奇特的是，为了方便给居住在二楼的小姐送食物用品，还在二楼廊道上挖了洞，可以直接把东西从楼下吊上二楼。现在小姐当年起居生活学习的场景呈现的有卧室、用餐室、练琴房等。园中还有很多内容的展示，限于时间及认知未能都谈到，很多精彩有待有兴趣者自探。
11,2023-10-09,北京,5,何园，坐落于江苏省扬州市，又名”寄啸山庄“，是一处始建于清代中期的中国古典园林建筑，被誉为“晚清第一园“，面积1.4万余平方米，建筑面积7000余平方米。何园由清光绪年间何芷舠所造，片石山房系石涛大师叠山作品。
12,2023-12-06,江苏,5,很特别的园林，值得参观。淡季出行人不多，顺着二楼的回廊逛一圈景致很美，这几天枫叶红透了，加分不少。
13,2023-12-07,江苏,5,一步一景，每个角度看都有不同的风景，集园林建设之大成。
14,2023-09-24,北京,5,被誉为“晚清第一园”的中国古典园林建筑—何园也是扬州必打卡地之一。何园主要分为东园、西园、园居院落、片石山房四个部分，现在开放的部分仅为何园总面积的二分之一。携程出票方便。
15,2023-12-13,陕西,5,女儿在扬大读书，才有幸过来看看，的确是江南水乡，曹运古都，有清代名人的故居，院里的风景特别好，假山 古树 鱼池 设计的真心好！值得一看！
16,2023-12-11,江苏,5,人多，但是很好看。有小姐姐在拍婚纱照
17,2023-12-05,广东,5,非常值得一游，个人觉得比个园出片！
18,2023-10-14,山东,5,该园林最大的亮点是片石山房，经考证是清代叠石造园大师石涛的孤品，镜花水月在作品中得到完美展现。另外一个特点是，大部分建筑用二层连廊连接，即美观又实用。
