,date,ip属地,评分,comments
0,2023-11-25,上海,5,从扬州迎宾馆四桥烟雨边的白色小桥穿行小门进入景区的，左手边是徐园。过虹桥，这里有摇橹船散客拼价50元/位，有讲解唱扬州小调，到西门24桥结束。不用走路省力。回程在岸边走走，到处红黄绿，乌桕枫叶红了，银杏叶子黄了，满园秋色五彩斑斓。
1,2023-11-20,江苏,4,在中华大地上，人民逛园子还要买门票！！！江山好像不都是人民的。花了钱很多打卡点锁门。部分亮点区域被搞美术的封闭了。驿站的守护人员岗位不错??一杯茶水泡一天，工作的舒坦。
2,2023-12-24,江苏,5,每次到扬州必来瘦西湖。冬天过来看看，景色别样不同。雪后的瘦西湖，寒风中依旧美景如画。一年四季景色都不一样，很多人都知道烟花三月下扬州，其实秋冬季节也是蛮好的。首先是人少，没有拥挤的感觉。再者是冬天更能体会慢扬州生活，吃住都是慢悠悠的，可以比较沉浸的体验城市的生活节奏。
3,2023-12-04,浙江,5,虽非烟花三月，却也杨柳依依！再配上银杏的黄、枫叶的红，好一幅冬日江南美景！瘦西湖主要景观集中在从南门到西门的那一段，再往东门北门方向就是散散落落的一些，但也值得观赏。从二十四桥往北河的东侧，是诗书长廊，刻有历代相关瘦西湖的诗词歌赋。我们是在北门附近询问如何绕到对岸时，恰问到驶船之人，将我们无偿送到了东岸，才有幸游了这长廊，意外收获！
4,2023-11-30,江苏,5,第一次和朋友去瘦西湖，不得不说真的很美的一个地方！我拍了好多照片，环境太好了！而且还看到不少黑天鹅啊、鸽子啊，甚至还有小猫呢！面积也特别大，可以走好几个小时！来扬州一定要来瘦西湖啊，值！(?>?<?)
5,2023-11-16,北京,5,从携程出票非常的方便，直接刷身份证入园，景区还给一个纸质手环，来区别是夜游的游客，瘦西湖有“园林之盛，甲于天下”之美誉，融南方之秀、北方之雄于一体，漫步其间，“两岸花柳全依水，一路楼台直到山”，如同一幅徐徐展开的国画长卷一般，晚上的瘦西湖发现它在灯光的装扮下，仿佛换了一个模样，五亭桥、熙春台、小金山、白塔、二十四桥……流光溢彩、璀璨夺目。原来主题为“二分明月忆扬州”的大型沉浸式夜游已经开始，于是我们从熙春台开始，跟着其它游人的步伐，徜徉于“夜市千灯照碧云”的意境中，领略瘦西湖营造的唐诗意境。瘦西湖的夜游分为光影诗画夜游、花车巡游、交互场景体验、千灯夜市四大板块，将诗词、光影、演艺、亲子、非遗等元素完美融合于“烟花三月”“云裳花容”“春江花月”“二分明月”等十大篇章，从而形成光彩夺目、梦幻时尚的夜游空间和视觉盛宴。
6,2023-10-27,江苏,5,门票出票效率非常高 游玩也很方便 限时两天内都可以 为我们的旅程提供了很多便利，扬州也很小 走走逛逛很nice 不管是吃啊喝的，还有各种景点 非常有特色 家里人都很喜欢 秋天不赶时间，在瘦西湖漫步很惬意 趣园很好吃，价格也不贵 就是排队太烦人，等了很久
7,2023-10-06,上海,5,我们是一大清早去的，人很少，只有当地的老人们在遛弯，我们选择了坐摇摆船游湖，听导游讲解，几乎所有的经典都逛到了，途中还有黑天鹅和鸭鸭们来问我们要吃的，局说游船一多那些鸭鸭们就不会靠近游船了
8,2023-11-21,江苏,4,此地值得一游，天降游园于人间。园内二次收费项目太多了，国家把这么好的资源给了你们，就应该不忘初心牢记使命，为人民服务的，而不是一味地压榨游客的
9,2023-12-19,广东,5,来扬州，当然要看瘦西湖。用携程订的门票，方便快捷，又有优惠，一举两得。虽然这次不是烟花三月下扬州，但冬日里的扬州，风景依然迷人。在瘦西湖里面玩了大半天，慢慢欣赏美景，真是流连忘返。
10,2023-12-04,天津,5,扬州必打卡地，比杭州西湖少一些喧嚣多一分精致，景色之间距离很近一步一景，诗中描写《二十四桥》就在中心处，基础设施齐全服务周到不愧为5A景区，可以选择坐船游览更有一番景色
11,2023-12-12,上海,5,瘦西湖淡季也比想像中的漂亮啊！秋叶有红有黄有橙，加上蓝天绿水！不过其实还是蛮大的、我们走了大概一个小时也没走完、没找导游自己溜、所以想听故事可以在园内跟个团
12,2023-11-22,江苏,5,烟花三月下扬州，带着女儿在春天最美的时候来感受下无限春光，只是去的那天太热了，人也太多了，所以游玩感受不是很好，但是还是和儿时去春游时的景一样
13,2023-12-03,天津,5,景色优美，扬州值得一去的景点，园林的美又存在历史的厚重感，不枉此行，位置优越，交通便利，适合拍照，一步一景，网上购票方便快捷，此生必去的地方
14,2023-11-23,福建,5,景点联票，游玩方便，价格还便宜些，不过还是好贵。瘦西湖挺大的，不过湖水好黄，不清澈，里面鸭子黑天鹅倒是养了很多，也不怕人，还有鸭子爬上岸的
15,2023-12-03,江苏,5,很不错很大 适合拿出整半天来游玩 如果资金充足还是很建议坐摇橹船 有导游一边唠嗑一边给你讲解景点，还会唱扬州小调 慢慢悠悠的坐到终点站真的很舒服
16,2023-11-21,江苏,5,很不错，就是地方大了些，如果光靠腿有点吃力的；如果坐船么成本直线上升，就这点不够亲民，其他都是好评，推荐来扬州游玩的来这个天然氧吧哦
17,2023-12-04,江苏,5,慢扬州，慢生活！我在五亭桥上看风景，你是否也在湖边看我呢？啊哈哈哈哈哈哈！大明寺里走一走，平山堂前话欧阳，古朴清幽恰是江南好风景！
18,2023-11-23,福建,5,从西湖出来再走个十分钟就到大明寺了。风景还可以，门票??已经够贵的了，上塔居然还要再额外收费，感觉吃相太难看了。一点也不像佛门净地
19,2023-12-09,浙江,5,晚上的瘦西湖，灯光非常绚丽，美伦美奂，别往的感受，虽然是晚上，但有不一样的感觉，有个景点，有点圆明园海晏堂的感觉，非常漂亮！！！
20,2023-12-08,上海,5,作为扬州城市名片，冬日的瘦西湖别有一番景象和趣味，游人三三两两，冬日暖阳中的银杏树叶和红枫树，在蓝天的映照之下显得格外和谐美丽。
21,2023-12-03,广东,5,超出预期的好，也超出预期的大。既有江南小园林的玲珑风格，也有开阔的景致。湖光云影，秋色迷人，也值得在不同季节，再来细细回味。
22,2023-11-20,上海,5,总体感觉不错，也很方便，携程上订购可以节省10元，当日阳光明媚，在瘦西湖中坐船观景，视角不同，别有趣味，半日游留下了美好记忆
23,2023-12-05,江苏,5,酒店设施先进好用，服务态度热情耐心，酒店周围景色优美，步行几分钟到瘦西湖。餐厅前台推荐香园餐厅食物非常美味，值得再去品尝。
24,2023-10-21,北京,5,瘦西湖，顾名思义，瘦。 一湾水，一片景，一张网，一处山。 湖光山色，景色独到，堪比大号的植物园。 扬州怡景，美不胜收，值得推荐。
25,2023-12-18,广东,5,专程到扬州参观瘦西湖，瘦西湖真的很值得购票游览，虽然下着小雨，但是风景优美。感受了一下皇上欣赏的美景，一定要做一下游船。
26,2023-12-05,安徽,5,夜景超级棒，已经是第二次坐高铁来扬州了，每次来扬州必去瘦西湖，喷泉表演真的很漂亮。天下三分明月，二分无赖是扬州。名不虚传
27,2023-11-26,江苏,5,接近十一月底来瘦西湖游玩，虽然不属于最佳季节看瘦西湖的美景，但是看到了不一样的风景，枫叶??全红了，远远望过去火红一片。
28,2023-11-24,江苏,5,俗话说，烟花三月下扬州，春天的瘦西湖一步一景，但秋季来扬州看秋天的瘦西湖，景色也是美美的，沿着湖边走一圈，美景尽收眼底。
