,date,ip属地,评分,comments
0,2023-12-02,安徽,5,1号上午入园的，那时候还有点阴冷，黑天鹅区域阳光多些，入口就能看见，还有火烈鸟！ 大概到下午1点左右的样子，阳光照耀时，很多动物才开始活动，有长颈鹿、大熊猫、老虎、斑马、羊驼、梅花鹿、袋鼠、长臂猿、金丝猴、狒狒、鸵鸟等动物！唯一遗憾的是：孔雀园没有开放！ 里面的景色也是不错的，踩着黄色落叶，看着红色枫叶和各种树木、绿植，心情还是愉悦的！ 如果是一家几个人来，还可以喂喂鸽子、做滑滑梯、看看大马戏团表演、玩玩碰碰车、水上乐园等等，还是不错的！ 我们是周五去的，人流量不是太大，可能是天气的原因，总体上还是不错的，适合节假日去游玩，票价也便宜，可以逛一天！
1,2023-12-08,安徽,5,非常好，动物非常多，可以近距离互动吃草的动物。肉食动物会互相打架，跟有看点，我非常喜欢，附近吃的玩的都有，交通便利！非常好
2,2023-10-02,江苏,5,动物园的动物种类繁多，有来自世界各地的珍稀动物，如大熊猫、金丝猴、长颈鹿等。这些动物在园内得到了很好的照顾，生活条件良好，游客可以近距离观赏到它们的生活状态。让游客大开眼界。
3,2023-10-03,江苏,4,动物园不大，动物种类不太多，但是每个动物都被喂养的很好，刚进门的黑天鹅优雅十足，东北虎高大壮实，两只大熊猫捞捞和月亮也都很精神。不过爬行动物馆不建议去，大人20小孩10元的门票非常不值。
4,2023-06-25,江苏,5,老早就想带娃去转转，之前两次都没有去成，这次端午回老家去逛了下，远远超出了我的期待。 景点很大，动物也很多，很适合遛娃。那天是阴天，所以天气也很合适，这个季节本应该很热的，结果并没有燥热难耐的感觉，也想必是景区里树木多，阴凉地方多。 在南京去过红山动物园，两者比较，红山主要是对动物保护性好，不过给人体验就没有茱萸湾好了。茱萸湾里面很多和小动物零距离互动的地方，比如：孔雀园，还有个猴子的地方。 性价比超高。 景区很大，建议带好午餐直接全部逛完，带小朋友在里面，直接能逛个一天。我家那位到一个动物的地方就不想走。??
5,2023-10-30,江苏,5,吃完早饭，开车从西区走江平快速路，一路畅通，大概20分钟左右就到了茱萸湾公园附近，把车停在工作人员指引的免费停车场，然后走过去大概500米左右就到了
6,2023-10-07,天津,5,是盐阜大地以及扬泰地区不可多得带娃好风景区动物园，价格不高可以看到比较多的动物。景区内看到周边地区不怎么看到的角马动物，就是只有一只，景区完全可以考虑多增加一到两只，增加乐趣性。
7,2023-10-11,北京,5,隐藏在动物园后的是植物园 动物可爱 空气清新 整个园区面积不算很大 2个小时左右就能逛遍 很爱！
8,2023-12-25,江苏,5,以前一直听说挺好的，真的去看看还是不错的，地理位置正好在水道的中间，布局挺新意的，沿着水，水鸟挺多，孩子喜欢，值得再去看看。
9,2023-11-25,江苏,5,嗯，本来也就2个小时的时间窗口，喂喂天鹅、火烈鸟，然后全家看看马戏表演，再走走逛逛，就出来了，狮虎园什么的，没去，赶场下一场
10,2023-12-25,江苏,3,冬季去不是很好，我是早上10点左右抵达逛了一个小时就出来了 很多地方都在修建，动物很少而且都很瘦小 不过熊猫还是很值得一看的
11,2023-08-20,江苏,5,挺好玩的，门票也很便宜，我觉得比南京红山动物园好玩，而且动物种类很多，我们家小朋友自己要求去过好几次了，里面吃饭的地方也不贵，挺好的
12,2023-10-08,江苏,5,扬州动物园??带小孩来玩不错的
13,2023-12-03,江苏,5,环境很好，值得一去
14,2023-10-29,江苏,5,挺好的，门票不贵。导游证还免大门票。但是里面有些项目是另外收费的。动植物园在一起，适合家庭亲子出游。去过大运河博物馆回程路上顺带逛了一圈，周末休闲挺好。
15,2023-10-07,江苏,5,"是个不错的动植物园。动物品种丰富。还有可爱的大熊猫,优雅的火烈鸟，仙鹤。大人、孩子都很喜欢。如果是春天的话。景区里的植物园的花开了，会更美。"
16,2023-10-04,福建,5,园区很大，动物种类很多，从动物们的毛色和状态可以看出都被照顾的非常好！动物可爱，景色也美，还有表演和游乐设施可以带孩子一起玩，很棒的动物园！
17,2023-09-19,河南,5,还是很不错的。还是很不错的。还是很不错的。还是很不错的。还是很不错的。还是很不错的。还是很不错的。还是很不错的。还是很不错的。还是很不错的。
18,2023-06-24,江苏,5,孩子玩的很开心，风景不错，很大，正好天冷不是很热，值得一游。
19,2023-12-14,湖南,5,蛮好的，值得一赞
20,2023-12-26,江苏,5,哈哈哈哈哈
21,2023-09-21,江苏,5,景区总体不大，但是很好玩，熊猫好可爱，还有金丝猴，宝宝玩的很开心，下次还要去，太棒了，就是吃饭不方便，建议自带干粮，开心。
22,2023-11-17,江苏,5,值得带老人和孩子去。狐猴互动区很不错，近距离接触动物。孔雀园也是开放式的。
23,2023-11-25,江苏,4,带着老人一起去的，走走逛逛，喂喂天鹅、火烈鸟，看看马戏，就差不多了
24,2023-11-21,山东,4,亲子游玩好去处，动物比较多
25,2023-08-15,上海,5,好啊。这个好。好地方啊。交通方便。景区内景色宜人很美漂亮。空气新鲜。是个值得去的地方。旅游必到之处打卡拍照取景休闲之地必到之处。非常好
26,2023-10-13,江苏,5,真不错 经常去
27,2023-08-02,安徽,5,景区不是很大，玩起来不至于很累，喂动物的地方很多，娃很喜欢
28,2023-11-25,江苏,4,地方还算大，开发不全，趣味性还可以
29,2023-10-28,江苏,5,非常值得，主要是让宝宝多接触自然风景，认识更多的小动物，最开心的是有大熊猫
30,2023-07-05,上海,5,【景色】景色宜人优美动人，令人期待已久 【趣味】老少皆宜的景点，有动物园，还可以露营 【性价比】门票不贵，值得推荐
31,2023-10-04,江苏,5,很好玩。。。。。。。。。。。。。。。。。。。。。。。。。。。
32,2023-03-30,天津,5,茱萸湾的动物总是幸福感爆棚，与游人无限亲近，并不怎么怕人，这也是一种信赖，正所谓人与自然和谐共生?? 黑颈天鹅、黑天鹅、疣鼻天鹅、黑嘴天鹅、大天鹅、小天鹅、赤麻鸭、翘鼻麻鸭、白鹤、鹈鹕、火烈鸟……哇哇，我不想走开~
33,2023-11-12,浙江,5,景色优美，景区配套设施完善，值得再来！
34,2023-07-30,江苏,5,茱萸湾还是挺不错的啊，里面的动物也挺多的啊，没事可以去逛逛，感受下呀，真不错
35,2023-10-13,江苏,5,很适合遛娃的公园，宝贝玩的很开心！
36,2023-10-02,江苏,5,孩子来了几次了，环境是不错
37,2023-10-24,江苏,5,便捷，环境好，可看点多
38,2023-07-05,江苏,5,这个地方浪漫又文艺，真的很适合来感受氛围，太适合假日放松了！！
39,2023-10-21,上海,5,好玩，方便，有优惠。
40,2023-10-09,江苏,5,性价比极好的遛娃场所
41,2023-10-07,江苏,5,去过多次，感觉很好
42,2023-10-03,江苏,5,动植物园，空气蛮好
43,2023-10-23,安徽,5,挺好。。。。。。
44,2023-08-04,江苏,4,动物园路线特别好，大致就是一个圈，不怎么需要走重复的路。有些可以和动物亲密接触，并不只是远远观看，这点特别好。里面还有一些收费的游玩项目
45,2023-06-25,江苏,5,茱萸湾还是挺不错的呢，里面还有动物园，很好玩的呀，不错
46,2023-11-19,江苏,5,景区环境不错
47,2023-07-01,河南,5,还是挺不错的啊，值得去打卡下呀，风景也很好的呢，很赞
48,2023-11-18,江苏,5,熊猫很可爱
49,2023-11-05,江苏,5,总体还可以
50,2023-11-05,江苏,5,总体还可以
51,2023-10-23,江苏,5,值得一游！
52,2023-10-06,广东,5,动物很好看
53,2023-09-29,江苏,5,我非常满意
54,2023-07-24,江苏,5,暑假的时候还是不要去了，太热了
55,2023-10-21,江西,5,方便 快捷
56,2023-09-04,江苏,5,一个岛上的动物园，遍插茱萸少一人。名字起的不错
57,2023-08-24,江苏,5,里面有很多小动物，猴子，大熊猫，老虎，值得一去
58,2023-08-29,江苏,5,门票挺便宜的 夏天的话没啥人 太热了门口停车很方便 进门电动车 班次太少 需要等待不想走的可以买 可以说动物基本不营业 没啥意思 有喂黑天鹅
59,2023-07-17,江苏,5,孩子今天刚去过，感觉挺好的，有时间会再去
60,2023-07-12,江苏,5,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好ヽ(○^?^)??
61,2023-07-10,江苏,5,特别好玩的地方，风景很好，动物种类也多。
62,2023-09-14,江苏,5,门票便宜，但很值得一玩，孩子非常喜欢
63,2023-08-18,江苏,5,扬州的野外动物园，可以烧烤，值得一去
64,2023-08-08,江苏,5,茱萸湾风景区里种满了茱萸，只是少一人
65,2023-08-18,黑龙江,5,适合带孩子来玩的景区，环尾狐猴是惊喜，推荐来玩，景区大小门票价格都很满意
66,2023-07-26,江苏,3,夏天真的不推荐太热，里面玩的项目少，动物不多，好多年了就那几个动物。11111111111111111111111111
67,2023-07-23,广东,5,环境一般，里面很多景点项目还要收费，影响游玩体验，而且离市区有点远。
68,2023-09-21,江苏,4,没什么好说的
69,2023-08-09,江苏,5,带娃去一下可以，挺有意思的，动物都很干净，品种也多！
70,2023-08-30,江苏,5,还可以吧 门票便宜 天凉快了去 天热动物不营业
71,2023-07-22,江苏,3,去茱萸湾纯粹是前两次来扬州因时间的缘故没去成而成为一种遗憾，这里从历史上给我的是两段历史故事：一是这里是隋炀帝三下扬州；二是日僧荣睿、普照于公元642年来扬邀请鉴真东渡，839年求法僧圆仁来中国均由此入境码头。除此，多条水系交汇于此，也是水上交通进入扬州的第一渡口。这次总了心愿，进入景区，感觉故事早已被历史长河淹没，景区更像一个湿地公园加动物园，适合亲子游
