,date,ip属地,评分,comments
0,2023-12-26,上海,5,景色很美，优惠门票不算贵，对退休人员价格友好，值得一游，以后有机会会再去。
1,2023-12-26,江苏,5,晚饭后去散散步、看看戏很不错、也很凉爽
2,2023-12-26,江苏,1,差……不会再去第二次
3,2023-12-26,上海,4,池子还可以，园内工作人员态度也很好，唯一缺点就是放干净毛巾的地方太少，晚上去泡的温泉，户外一条干净毛巾都没有，还是问起他工作人员才拿到两条，大冬天，浴巾湿了就非常冷，建议多设置一点干浴巾放置点提供客人更换。
4,2023-12-26,陕西,5,服务好，态度也好，卫生很干净。
5,2023-12-26,上海,5,一家人出行，省心又开心！
6,2023-12-26,上海,5,总体景点都不错的，景区离的也不远
7,2023-12-26,广东,5,值得一看，非常不错
8,2023-12-26,广东,5,非常满意，好看
9,2023-12-26,广东,1,碎碎的差点事
10,2023-12-25,湖南,5,灯光夜景很美
11,2023-12-25,江苏,3,1.装修声音过大 2.油漆味过重 3.来的话建议冬季（覆盖着皑皑白雪的景致比较动人，其他季节不太建议）4.如果去过杭州西湖或是北京颐和园的旅友可以降低一下心理期待 总体而言中规中矩吧
12,2023-12-25,辽宁,5,很好看。夜游孩子很喜欢。网上买票也很方便。到了不用再排队了。
13,2023-12-25,安徽,5,还行吧夜景没玩有点亏
14,2023-12-25,上海,5,个园里面那个名字红玛瑙的，就是坑人啊，一个字5块钱，搭配的东西就是坑。瘦西湖这个坐船的，摇橹船卖票的完全不说电瓶船买了票等20分钟就走，害的我苦等人来，只想给自己拉生意，我们只是要坐船，不是要摇橹船啊！！！！！太过分了，真的很生气。无语
15,2023-12-25,江苏,5,瘦西湖还是很美的，景区很大，全程走下来要三四个小时吧，虽然是冬天了，但是景色还是不错，天鹅，鸭子都在水面上，很好看，休闲好去处
16,2023-12-24,上海,5,选择周一早上去的扬州宴，吃完对面就是瘦西湖，回程前浅玩了一次，气候与景色都宜人。
17,2023-12-24,上海,5,杨州真是个好地方，风景美丽，吃的也很多，孩子玩的非常开心，值得游玩！
18,2023-12-24,江苏,5,每次到扬州必来瘦西湖。冬天过来看看，景色别样不同。雪后的瘦西湖，寒风中依旧美景如画。一年四季景色都不一样，很多人都知道烟花三月下扬州，其实秋冬季节也是蛮好的。首先是人少，没有拥挤的感觉。再者是冬天更能体会慢扬州生活，吃住都是慢悠悠的，可以比较沉浸的体验城市的生活节奏。
19,2023-12-24,江苏,5,好好好 晚上去更好看
20,2023-12-24,湖北,5,淡季的瘦西湖人少景美，带国外的亲戚游览，走到瘦西湖门口在携程定的票，一直相信携程，机票、酒店都喜欢在携程定，产品清晰方便！
21,2023-12-24,上海,5,风景优美，很适合休闲散步
22,2023-12-24,辽宁,5,5A景区，完美体验，电子门票，方便快捷，雨中漫步，别具特色。自然与人文融合，管理传统文化与现代科技互助，如有机会还会再来！
23,2023-12-23,山东,5,值得推荐的好地方。
24,2023-12-23,浙江,4,我持浙江省三十年教龄荣誉教师证希望有折扣
25,2023-12-23,海南,5,很好的风景区
26,2023-12-22,四川,5,非常好用，景色怡人，确实非常b好。适合带老人玩玩，我是坐船玩的。
27,2023-12-22,海南,5,人不多，风景很美，体验很好
28,2023-12-22,河北,5,不错-----
29,2023-12-22,广东,4,瘦西湖还是很不错的，可惜去早了，烟花三月下扬州下扬州得是阴历。太早了没有春天草长莺飞，绿水青山的景色，不过也还不错，人文景点也很值得看看
30,2023-12-22,天津,5,很值得去玩一玩的地方
31,2023-12-22,安徽,5,值得一去，二十四桥很美
32,2023-12-22,安徽,4,值得去看看，环境优美
33,2023-12-22,江苏,5,key很不错
34,2023-12-22,山东,5,无障碍设施需要提高
35,2023-12-21,北京,5,夜游瘦西湖非常美
36,2023-12-21,安徽,5,还不错，值得一游
37,2023-12-21,广东,4,里面非常大，全部逛完起码要大半天的时间，因为天气不好一直下雨，就只逛了精华部分，从南门进西门出来了，但是边走边拍照也用了将近两个多小时将近三小时了
38,2023-12-21,上海,3,真的很一般
39,2023-12-21,天津,4,因为李白来扬州，又因为杜牧姜夔游瘦西湖。景虽好，却无诗人的雅意，总觉得诗人们是不是过了？
40,2023-12-20,安徽,5,房间很干净整洁，服务员热情周到，离店时还送了特产糖果，非常体贴。
41,2023-12-20,安徽,5,很好很好很满意
42,2023-12-20,福建,5,挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的，挺好的挺好的挺好的挺好的
43,2023-12-20,湖南,5,扬州绝对值得一来的景点
44,2023-12-20,江苏,5,111111111111111111111111111111
45,2023-12-20,甘肃,5,非常漂亮值得一去
46,2023-12-19,广东,5,简单方便，即订立刻使用。瘦西湖果然是美，游船是必须的，因为在船上看的风景不一样。
47,2023-12-19,云南,4,园子挺大，好
48,2023-12-19,广东,5,五星级的好评
49,2023-12-19,广东,5,来扬州，当然要看瘦西湖。用携程订的门票，方便快捷，又有优惠，一举两得。虽然这次不是烟花三月下扬州，但冬日里的扬州，风景依然迷人。在瘦西湖里面玩了大半天，慢慢欣赏美景，真是流连忘返。
50,2023-12-19,上海,5,第一次来扬州，遇到大雪中的瘦西湖 果然很美，处处是风景 值得一去 冷是真冷的，但美也是真的美 不过这么美的景色再冷都是值得的
51,2023-12-19,江苏,5,美中不足马桶漏水希望改进
52,2023-12-19,江苏,5,今天下雪了 景色宜人 就是景区没路灯
53,2023-12-18,云南,5,景色宜人，赞
54,2023-12-18,云南,5,游船太贵，景色挺美，比较推荐
55,2023-12-18,江苏,5,便捷实惠！会继续关注
56,2023-12-18,广东,5,专程到扬州参观瘦西湖，瘦西湖真的很值得购票游览，虽然下着小雨，但是风景优美。感受了一下皇上欣赏的美景，一定要做一下游船。
57,2023-12-18,江苏,5,今天下雪，门口售票小姐姐人很好。让我们在亭子里慢慢操作。湖景很美！
58,2023-12-18,湖南,5,去过很多次了，适合带娃旅行。
59,2023-12-18,北京,5,环境优美、景色宜人！
60,2023-12-18,广东,5,多个景点联票，挺划算的。
61,2023-12-18,安徽,2,一般般 没什么好玩的
62,2023-12-18,上海,5,瘦西湖值得一晚
63,2023-12-18,江苏,5,诗画瘦西湖，第一次来扬州，好看的，很漂亮，门票也很方便，坐船也很好玩。
64,2023-12-18,河南,5,非常好，特别棒！
65,2023-12-17,上海,5,挺美的自然风景，很大
66,2023-12-17,北京,5,冬天的景色也蛮特别的
